_OccupationRole,_Rank,Author,Company,Date,Employment,Occupation,Place,Review,Rating
Customer Service,Officer,"Customer Service Officer (Former Employee) - Singapore - March 12, 2020",Dbs-Bank,12/3/20,Former Employee,Customer Service Officer,Singapore,"Working in DBS would give you ample opportunities to flex your brain muscles as you are faced with multiple situations in which you would have to resolve customers' issues. However, team managers are always around to assist and guide you in the right direction. Colleagues are very friendly and quick to welcome you as part of their team.",4
,Manager,"Private Banking, Senior Associate, Senior Assistant Relationship Manager (Former Employee) - Hong Kong, HK - March 12, 2020",Dbs-Bank,12/3/20,Former Employee,Private Banking - Senior Associate - Senior Assistant Relationship Manager,"Hong Kong, HK",I have made a lot of friends in this company and learnt a lot of practical skills here. I also learnt how to deal with different people by knowing their needs.,4
,Executive,"Bank Executive (Former Employee) - Singapore - March 12, 2020",Dbs-Bank,12/3/20,Former Employee,Bank Executive,Singapore,"Fast paced working environmentGood team leaderGood team bounding sessions",4
Business Development,,"Business Data Analyst (Current Employee) - Singapore - March 11, 2020",Dbs-Bank,11/3/20,Current Employee,Business Data Analyst,Singapore,"Good to work, nice environment, Learning in DBS. Salary hike we can’t expect every year.  Contract  renewal not happens every year  all r depends on team",4
Engineering,,"Software Engineer (Former Employee) - Singapore - March 8, 2020",Dbs-Bank,8/3/20,Former Employee,Software Engineer,Singapore,"a good work culture with nice people to work with.good exposure to latest technologiesfaced so much challeges but there was always superiors to guide",3
,,"Regional Head Credit, North India (Current Employee) - New Delhi, Delhi - March 8, 2020",Dbs-Bank,8/3/20,Current Employee,Regional Head Credit- North India,"New Delhi, Delhi",Good Employee Friendly and Value Driven organisation. Embodies Asian Values and takes good care of employees. Encourages healthy inter personal culture.,4
,,"Assistant Vice President (Former Employee) - Singapore - March 8, 2020",Dbs-Bank,8/3/20,Former Employee,Assistant Vice President,Singapore,"Collaborative work culture, fun working environment and great team work. Supportive colleagues but traditional and rigid practice and must follow protocols according to ranks.",5
Analysts,,"Android Developer (Former Employee) - Hyderabad, Telangana - March 7, 2020",Dbs-Bank,7/3/20,Former Employee,Android Developer,"Hyderabad, Telangana",Best work-life balance as a policy implemented. Employment benefits and working environment. I have been working at DBS Bank full-time for more than a year.,5
Business Development,Manager,"Business Development Manager (Former Employee) - Kolkata, West Bengal - March 4, 2020",Dbs-Bank,4/3/20,Former Employee,Business Development Manager,"Kolkata, West Bengal","It was a small team, we worked with a sense of purpose and camaraderie.    One of the main challenges was the branch network, we had only eight branches in India at that time (2013-14), and only one in eastern India. It was fun convincing clients to start banking with us irrespective of the absence of a big network of branches and ATMs. As a result each and every client we acquired was served with utmost care, professionalism and empathy. The most satisfying part was when an existing client expressed satisfaction with us and further gave us some good references among his/her colleagues and friends. Word of mouth was our biggest and only advertisement, at that time DBS India had not yet started advertising in print or television. And the most challenging part was striking balance between new time spent on acquisitions and serving existing clients and keeping them happy. I learned international trade finance, particularly dealing with documentary credit, facilitating export receipts and import payments. As it was  a small team   , the Management was quite accessible and could be approached for support, with queries and the occasional suggestions.",4
,,"Senior Associate (Current Employee) - Changi business park - March 3, 2020",Dbs-Bank,3/3/20,Current Employee,Senior Associate,Changi business park,"Overall bank has a friendly culture and staff are willing to share knowledge and mentor.However, back office working hours could be abit long and at times stressful.",5
,,"QA Lead (Former Employee) - Changi Business Park - March 3, 2020",Dbs-Bank,3/3/20,Former Employee,QA Lead,Changi Business Park,"overall a good place to workworkplace culture is goodLearned various challenges faced in implementing new requirementHardest part was to achieve go-live date when multiple sub systems are involved.",5
,Officer,"Consumer Loan operations- Assistant officer (Former Employee) - 台北市 - March 2, 2020",Dbs-Bank,2/3/20,Former Employee,Consumer Loan operations- Assistant officer,台北市,It’s a high paced work that I learned to work efficiently.DBS also had well benefits and lots of activities to participate; such as movie night and course of lectures .,5
Finance/Accounts,Executive,"Executive Accounts (Former Employee) - Nariman Point Mumbai - March 1, 2020",Dbs-Bank,1/3/20,Former Employee,Executive Accounts,Nariman Point Mumbai,AP Team sits very long hours. It's not MNC Culture. Senior-level managers watch always how many times leaving the seat. At what time he/she is going etc. Don't see the performance. They see only how much time spending time at the office.,2
,Intern,"Internship Student (Former Employee) - Marina Bay - February 29, 2020",Dbs-Bank,29/2/20,Former Employee,Internship Student,Marina Bay,"You have to constantly put up a good front, and show your capabilities else, you might be looked down upon. People there are not the nicest although it might not be shown directly. Have to be prepared to sometimes get scolded for minor issues.",2
,,"BANK TELLER (Former Employee) - Woodlands - February 21, 2020",Dbs-Bank,21/2/20,Former Employee,BANK TELLER,Woodlands,"The work culture at dbs branches are quite stressful, fast-paced and some colleagues can be quite intimidating, as well as the customers. There’s a little tension on race equality and treatment among colleagues which I did not like. It’s already year 2020, such cases should be address in the work society. Although there are some colleagues and the managers are nice, I don’t feel it’s a good working environment to stay in and it’s not a future job I would pursue.",3
Analysts,,"Application Developer, Associate (Current Employee) - Singapore - February 20, 2020",Dbs-Bank,20/2/20,Current Employee,"Application Developer, Associate",Singapore,"Very slow progression for the tech people. Salary increment is a little (<200$), or even none for band 2 rating!Managers don't really care about the subordinates.",3
,Intern,"Intern (Former Employee) - Marina Bay - February 16, 2020",Dbs-Bank,16/2/20,Former Employee,Intern,Marina Bay,"Lack of guidance and teamwork A lot of manual and redundant work when it can be automated Wish the people there were nicer No sense of belongingness",1
Analysts,,"Actimize Developer (Current Employee) - Hyderabad, Telangana - February 8, 2020",Dbs-Bank,8/2/20,Current Employee,Actimize Developer,"Hyderabad, Telangana","Here you can all the new technologies with a good pace.Day to day work is a bit high and if you want to learn good technologies , it's a good place..",4
Customer Service,Officer,"Customer Service Officer (Current Employee) - MBFC - February 4, 2020",Dbs-Bank,4/2/20,Current Employee,Customer Service Officer,MBFC,"Work life balanced, nice environment with friendly colleagues Good learning workplace Internal and external course providedInternal mobility is possible",4
